"COUNTY","ZIPCODE","POPULATION","SERVICE_CONNECTIONS","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","ENF_ACTION_TYPE_ISSUED","year_violation","daystaken"
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.0132 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC",".0127 MG/L",NA,"RETURN TO COMPLIANCE","2014",91
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2015",90
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,"RETURN TO COMPLIANCE","2016",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L","INFORMAL ENFORCEMENT ACTION ISSUED","2014",90
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.023 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.027 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",121
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","28.5 UG/L",NA,"RETURN TO COMPLIANCE","2017",89
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.024 MG/L",NA,"RETURN TO COMPLIANCE","2015",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.020 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.023 MG/L",NA,"RETURN TO COMPLIANCE","2014",89
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.022 MG/L",NA,"RETURN TO COMPLIANCE","2013",89
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","34.0 UG/L",NA,"RETURN TO COMPLIANCE","2017",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","33 UG/L",NA,"RETURN TO COMPLIANCE","2018",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC",".02250000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC",".02150000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","20.0 UG/L","10.0 UG/L","RETURN TO COMPLIANCE","2013",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","20.3 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.0208 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.0165 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.020 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.020 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.0205 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"FRESNO",93656,75,25,"MCL,  AVERAGE","ARSENIC",".02430000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"FRESNO",93656,75,25,"MCL,  AVERAGE","ARSENIC","0.0325 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"FRESNO",93656,75,25,"MCL,  AVERAGE","ARSENIC","0.0315 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",90
"FRESNO",93656,75,25,"MCL,  AVERAGE","ARSENIC","0.0305 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",91
"FRESNO",93656,75,25,"MCL,  AVERAGE","ARSENIC","0.0305 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",90
"FRESNO",93656,75,25,"MCL,  AVERAGE","ARSENIC","0.032 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC",".03400000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","0.0348 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","0.0353 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"FRESNO",93242,70,19,"MCL, SINGLE SAMPLE","NITRATE","81.1 MG/L","45 MG/L","RETURN TO COMPLIANCE","2013",91
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","35.3 UG/L","10 UG/L","RETURN TO COMPLIANCE","2013",91
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","0.034 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",89
"FRESNO",93242,70,19,"MCL,  AVERAGE","NITRATE","47.5 MG/L","45 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","0.034 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","0.032 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","0.0355 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"FRESNO",93242,70,19,"MCL,  AVERAGE","ARSENIC","0.018 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"FRESNO",93242,70,19,"MCL, SINGLE SAMPLE","NITRATE","11 MG/L","10 MG/L","RETURN TO COMPLIANCE","2016",90
"FRESNO",93621,25,2,"MCL,  AVERAGE","COMBINED URANIUM","28.8 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2014",89
"FRESNO",93621,25,2,"MCL,  AVERAGE","COMBINED URANIUM","32.3 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"FRESNO",93621,25,2,"MCL,  AVERAGE","COMBINED URANIUM","51.3 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2015",89
"FRESNO",93621,25,2,"MCL,  AVERAGE","COMBINED URANIUM","61.8 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"FRESNO",93621,25,2,"MCL,  AVERAGE","COMBINED URANIUM","47.3 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2016",90
"FRESNO",93621,25,2,"MCL,  AVERAGE","COMBINED URANIUM","28.7 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","26.0 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","24.9 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","25.0 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","23.0 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2013",91
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","23.2 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2014",89
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","20.3 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2014",91
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","20.3 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2015",89
"FRESNO",93656,63,17,"MCL,  AVERAGE","COMBINED URANIUM","21.3 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2015",91
"FRESNO",93664,40,22,"MCL,  AVERAGE","ARSENIC",".03750000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",90
"FRESNO",93664,40,22,"MCL,  AVERAGE","ARSENIC","0.0375 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"FRESNO",93664,40,22,"MCL,  AVERAGE","ARSENIC","0.0133 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",90
"FRESNO",93664,40,22,"MCL,  AVERAGE","ARSENIC","0.036 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"FRESNO",93664,40,22,"MCL,  AVERAGE","ARSENIC","0.035 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"FRESNO",93624,100,32,"MCL, SINGLE SAMPLE","NITRATE","78 MG/L","45 MG/L","RETURN TO COMPLIANCE","2014",90
"FRESNO",93656,3145,966,"MCL,  AVERAGE","ARSENIC",".03820000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",90
"FRESNO",93656,3145,966,"MCL,  AVERAGE","ARSENIC","0.0384 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",90
"FRESNO",93656,3145,966,"MCL,  AVERAGE","ARSENIC","0.038 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",90
"FRESNO",93668,897,348,"MCL,  AVERAGE","ARSENIC","0.0143 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"FRESNO",93668,897,348,"MCL,  AVERAGE","ARSENIC","0.016 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",91
"INYO",93514,75,21,"MCL,  AVERAGE","COMBINED URANIUM","25 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"INYO",93514,75,21,"MCL,  AVERAGE","COMBINED URANIUM","26 PCI/L","20 PCI/L","OTHER INFORMAL ENFORCEMENT ACTION TAKEN","2013",91
"INYO",93514,75,21,"MCL,  AVERAGE","COMBINED URANIUM","29 PCI/L","20 PCI/L","OTHER INFORMAL ENFORCEMENT ACTION TAKEN","2013",91
"INYO",93514,75,21,"MCL,  AVERAGE","COMBINED URANIUM","29 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"INYO",93514,75,21,"MCL,  AVERAGE","COMBINED URANIUM","27 PCI/L","20 PCI/L","RETURN TO COMPLIANCE","2014",89
"INYO",93514,75,21,"MCL,  AVERAGE","COMBINED URANIUM","23 PCI/L","20 PCI/L","OTHER INFORMAL ENFORCEMENT ACTION TAKEN","2014",90
"KERN",93240,75,32,"MCL,  AVERAGE","ARSENIC",".02700000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"KERN",93240,75,32,"MCL,  AVERAGE","ARSENIC",".02700000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"KERN",93240,75,32,"MCL,  AVERAGE","ARSENIC","0.25 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",89
"KERN",93240,75,32,"MCL,  AVERAGE","ARSENIC","0.024 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"KERN",93523,161,49,"MCL,  AVERAGE","ARSENIC",".02800000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"KERN",93523,161,49,"MCL,  AVERAGE","ARSENIC","0.029 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"KERN",93523,161,49,"MCL,  AVERAGE","ARSENIC","0.030 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"KERN",93523,161,49,"MCL,  AVERAGE","ARSENIC","0.030 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",91
"KERN",93523,161,49,"MCL,  AVERAGE","ARSENIC","0.030 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KERN",93523,161,49,"MCL,  AVERAGE","ARSENIC","0.031 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"KERN",93523,161,49,"MCL,  AVERAGE","ARSENIC","0.025 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",90
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC",".01400000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",90
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",90
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.016 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",90
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.018 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"KERN",93285,54,28,"MCL,  AVERAGE","ARSENIC","0.018 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",120
"KERN",93560,60,28,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",89
"KERN",93561,109,37,"MCL,  AVERAGE","ARSENIC",".01300000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",90
"KERN",93561,109,37,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"KERN",93561,109,37,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",91
"KERN",93561,109,37,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KERN",93561,109,37,"MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"KERN",93531,94,50,"MCL, SINGLE SAMPLE","NITRATE","46.00000000 MG/L","45 MG/L","RETURN TO COMPLIANCE","2012",90
"KERN",93531,94,50,"MCL, SINGLE SAMPLE","NITRATE","46 MG/L","45 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"KERN",93531,94,50,"MCL, SINGLE SAMPLE","NITRATE","47 MG/L","45 MG/L","RETURN TO COMPLIANCE","2014",91
"KERN",93531,94,50,"MCL, SINGLE SAMPLE","NITRATE","48 MG/L","45 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"KERN",93280,48,18,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",89
"KERN",93280,48,18,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"KERN",93280,48,18,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"KERN",93280,48,18,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"KERN",93280,48,18,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",90
"KERN",93280,48,18,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",91
"KERN",93280,48,18,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC",".03800000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.038 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.038 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.037 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.040 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.038 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.040 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.037 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",90
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.038 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.043 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.041 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"KERN",93596,2253,588,"MCL,  AVERAGE","ARSENIC","0.041 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",90
"KERN",93501,4200,1164,"MCL,  AVERAGE","ARSENIC",".01400000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",90
"KERN",93501,4200,1164,"MCL,  AVERAGE","ARSENIC",".01400000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"KERN",93501,4200,1164,"MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",89
"KERN",93501,4200,1164,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
