FIPS,State,County,% Fair/Poor
06000,California,,19
06001,California,Alameda,15
06003,California,Alpine,
06005,California,Amador,18
06007,California,Butte,14
06009,California,Calaveras,14
06011,California,Colusa,
06013,California,Contra Costa,15
06015,California,Del Norte,
06017,California,El Dorado,10
06019,California,Fresno,20
06021,California,Glenn,
06023,California,Humboldt,14
06025,California,Imperial,31
06027,California,Inyo,
06029,California,Kern,24
06031,California,Kings,23
06033,California,Lake,22
06035,California,Lassen,16
06037,California,Los Angeles,22
06039,California,Madera,31
06041,California,Marin,8
06043,California,Mariposa,
06045,California,Mendocino,16
06047,California,Merced,27
06049,California,Modoc,
06051,California,Mono,8
06053,California,Monterey,23
06055,California,Napa,15
06057,California,Nevada,10
06059,California,Orange,15
06061,California,Placer,9
06063,California,Plumas,7
06065,California,Riverside,19
06067,California,Sacramento,14
06069,California,San Benito,18
06071,California,San Bernardino,20
06073,California,San Diego,16
06075,California,San Francisco,16
06077,California,San Joaquin,20
06079,California,San Luis Obispo,11
06081,California,San Mateo,14
06083,California,Santa Barbara,22
06085,California,Santa Clara,15
06087,California,Santa Cruz,17
06089,California,Shasta,12
06091,California,Sierra,
06093,California,Siskiyou,19
06095,California,Solano,16
06097,California,Sonoma,14
06099,California,Stanislaus,23
06101,California,Sutter,25
06103,California,Tehama,28
06105,California,Trinity,
06107,California,Tulare,27
06109,California,Tuolumne,14
06111,California,Ventura,14
06113,California,Yolo,14
06115,California,Yuba,22